row_id,test_index,model_label,model_name,endpoint_port,prompt_version,ground_truth,raw_response
138932,0,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138933,1,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138934,2,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138935,3,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138936,4,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138937,5,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138938,6,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138939,7,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138940,8,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138941,9,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138942,10,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138943,11,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138944,12,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138945,13,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138946,14,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138947,15,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,1,"{""prediction"": 1}"
138948,16,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138949,17,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
138950,18,gemma-3-12b-it,gemma-3-12b-it,8002,zero_shot_v2,0,"{""prediction"": 1}"
