row_id,test_index,model_label,prompt_version,ground_truth,parsed_prediction,valid_flag,parse_error
138932,0,gemma-3-12b-it,zero_shot_v2,0,1,True,
138933,1,gemma-3-12b-it,zero_shot_v2,1,1,True,
138934,2,gemma-3-12b-it,zero_shot_v2,0,1,True,
138935,3,gemma-3-12b-it,zero_shot_v2,1,1,True,
138936,4,gemma-3-12b-it,zero_shot_v2,0,1,True,
138937,5,gemma-3-12b-it,zero_shot_v2,1,1,True,
138938,6,gemma-3-12b-it,zero_shot_v2,1,1,True,
138939,7,gemma-3-12b-it,zero_shot_v2,0,1,True,
138940,8,gemma-3-12b-it,zero_shot_v2,0,1,True,
138941,9,gemma-3-12b-it,zero_shot_v2,0,1,True,
138942,10,gemma-3-12b-it,zero_shot_v2,1,1,True,
138943,11,gemma-3-12b-it,zero_shot_v2,1,1,True,
138944,12,gemma-3-12b-it,zero_shot_v2,1,1,True,
138945,13,gemma-3-12b-it,zero_shot_v2,1,1,True,
138946,14,gemma-3-12b-it,zero_shot_v2,0,1,True,
138947,15,gemma-3-12b-it,zero_shot_v2,1,1,True,
138948,16,gemma-3-12b-it,zero_shot_v2,0,1,True,
138949,17,gemma-3-12b-it,zero_shot_v2,0,1,True,
138950,18,gemma-3-12b-it,zero_shot_v2,0,1,True,
138951,19,gemma-3-12b-it,zero_shot_v2,0,1,True,
138952,20,gemma-3-12b-it,zero_shot_v2,0,1,True,
138953,21,gemma-3-12b-it,zero_shot_v2,0,1,True,
138954,22,gemma-3-12b-it,zero_shot_v2,1,1,True,
138955,23,gemma-3-12b-it,zero_shot_v2,1,1,True,
138956,24,gemma-3-12b-it,zero_shot_v2,0,1,True,
138957,25,gemma-3-12b-it,zero_shot_v2,0,1,True,
138958,26,gemma-3-12b-it,zero_shot_v2,0,1,True,
138959,27,gemma-3-12b-it,zero_shot_v2,0,1,True,
138960,28,gemma-3-12b-it,zero_shot_v2,0,1,True,
138961,29,gemma-3-12b-it,zero_shot_v2,0,1,True,
138962,30,gemma-3-12b-it,zero_shot_v2,0,1,True,
138963,31,gemma-3-12b-it,zero_shot_v2,0,1,True,
138964,32,gemma-3-12b-it,zero_shot_v2,0,1,True,
138965,33,gemma-3-12b-it,zero_shot_v2,0,0,True,
138966,34,gemma-3-12b-it,zero_shot_v2,1,1,True,
138967,35,gemma-3-12b-it,zero_shot_v2,0,1,True,
138968,36,gemma-3-12b-it,zero_shot_v2,0,1,True,
138969,37,gemma-3-12b-it,zero_shot_v2,1,1,True,
138970,38,gemma-3-12b-it,zero_shot_v2,0,1,True,
138971,39,gemma-3-12b-it,zero_shot_v2,1,1,True,
138972,40,gemma-3-12b-it,zero_shot_v2,1,1,True,
138973,41,gemma-3-12b-it,zero_shot_v2,0,1,True,
138974,42,gemma-3-12b-it,zero_shot_v2,0,1,True,
138975,43,gemma-3-12b-it,zero_shot_v2,0,1,True,
138976,44,gemma-3-12b-it,zero_shot_v2,0,1,True,
138977,45,gemma-3-12b-it,zero_shot_v2,0,1,True,
138978,46,gemma-3-12b-it,zero_shot_v2,1,1,True,
138979,47,gemma-3-12b-it,zero_shot_v2,1,1,True,
138980,48,gemma-3-12b-it,zero_shot_v2,0,1,True,
138981,49,gemma-3-12b-it,zero_shot_v2,0,1,True,
138982,50,gemma-3-12b-it,zero_shot_v2,1,1,True,
138983,51,gemma-3-12b-it,zero_shot_v2,0,1,True,
138984,52,gemma-3-12b-it,zero_shot_v2,0,1,True,
138985,53,gemma-3-12b-it,zero_shot_v2,1,1,True,
138986,54,gemma-3-12b-it,zero_shot_v2,1,1,True,
138987,55,gemma-3-12b-it,zero_shot_v2,0,1,True,
138988,56,gemma-3-12b-it,zero_shot_v2,0,1,True,
138989,57,gemma-3-12b-it,zero_shot_v2,0,1,True,
